order,list,item,cond,target_position,prepositions,order_of_mention,target_number,comp_number,context,firstDisplay,secondDisplay,expTrials,pair_ID,comp_unique_ID1,animacy_cong,target_gender,comp1_animacy,target,competitor,recordingName
25,2,X26,9,,,1,singular,singular,The dancer is below the pine tree and he is on Number 4.,X26_9_1.jpg,X26_9_2.jpg,N,,,,,,dancer,below,N_List2_Order25_Item_X26_Cond9
25,3,X26,9,,,1,singular,singular,The dancer is below the pine tree and he is on Number 4.,X26_9_1.jpg,X26_9_2.jpg,N,,,,,,dancer,below,N_List3_Order25_Item_X26_Cond9
25,4,X26,9,,,1,singular,singular,The dancer is below the pine tree and he is on Number 4.,X26_9_1.jpg,X26_9_2.jpg,N,,,,,,dancer,below,N_List4_Order25_Item_X26_Cond9
26,1,X08,9,,,1,plural,,The spoons are on the row above the sheep and they are on Number 2.,X08_9_1.jpg,X08_9_2.jpg,N,,,,,,spoons,on,N_List1_Order26_Item_X08_Cond9
26,2,X08,9,,,1,plural,,The spoons are on the row above the sheep and they are on Number 2.,X08_9_1.jpg,X08_9_2.jpg,N,,,,,,spoons,on,N_List2_Order26_Item_X08_Cond9
26,3,X08,9,,,1,plural,,The spoons are on the row above the sheep and they are on Number 2.,X08_9_1.jpg,X08_9_2.jpg,N,,,,,,spoons,on,N_List3_Order26_Item_X08_Cond9
26,4,X08,9,,,1,plural,,The spoons are on the row above the sheep and they are on Number 2.,X08_9_1.jpg,X08_9_2.jpg,N,,,,,,spoons,on,N_List4_Order26_Item_X08_Cond9
27,1,2,4,2,above,1,plural,plural,The sailors are above the queens and they are on Number 2.,E02_4_1.jpg,E02_4_2.jpg,Y,2,1,same,masc,animate,sailor,queens,Y_List1_Order27_Item_2_Cond4
27,2,2,2,2,above,1,plural,singular,The sailors are above the queen and they are on Number 2.,E02_2_1.jpg,E02_2_2.jpg,Y,2,1,same,masc,animate,sailor,queen,Y_List2_Order27_Item_2_Cond2
27,3,2,1,2,above,1,plural,singular,The sailors are above the crown and they are on Number 2.,E02_1_1.jpg,E02_1_2.jpg,Y,4,1,different,masc,inanimate,sailor,crown,Y_List3_Order27_Item_2_Cond1
27,4,2,3,2,above,1,plural,plural,The sailors are above the crowns and they are on Number 2.,E02_3_1.jpg,E02_3_2.jpg,Y,4,1,different,masc,inanimate,sailor,crowns,Y_List4_Order27_Item_2_Cond3
28,1,X09,9,,,1,singular,singular,The delivery man is on Number 4 and he is on the same row as the hand.,X09_9_1.jpg,X09_9_2.jpg,N,,,,,,delivery,4,N_List1_Order28_Item_X09_Cond9
28,2,X09,9,,,1,singular,singular,The delivery man is on Number 4 and he is on the same row as the hand.,X09_9_1.jpg,X09_9_2.jpg,N,,,,,,delivery,4,N_List2_Order28_Item_X09_Cond9
28,3,X09,9,,,1,singular,singular,The delivery man is on Number 4 and he is on the same row as the hand.,X09_9_1.jpg,X09_9_2.jpg,N,,,,,,delivery,4,N_List3_Order28_Item_X09_Cond9
28,4,X09,9,,,1,singular,singular,The delivery man is on Number 4 and he is on the same row as the hand.,X09_9_1.jpg,X09_9_2.jpg,N,,,,,,delivery,4,N_List4_Order28_Item_X09_Cond9
